Sl. No.,States,Number of Cyber Crime Police Station (s)
1,Andhra Pradesh,3
2,Arunachal Pradesh,1
3,Assam,0
4,Bihar,1
5,Chhattisgarh,1
6,Goa,1
7,Gujarat,24
8,Haryana,8
9,Himachal Pradesh,1
10,Jharkhand,7
11,Karnataka,8
12,Kerala,19
13,Madhya Pradesh,1
14,Maharashtra,46
15,Manipur,1
16,Meghalaya,1
17,Mizoram,1
18,Nagaland,1
19,Odisha,15
20,Punjab,2
21,Rajasthan,2
22,Sikkim,0
23,Tamil Nadu,46
24,Telangana,3
25,Tripura,0
26,Uttar Pradesh,18
27,Uttarakhand,2
28,West Bengal,31
29,Andaman and Nicobar Island,0
30,Chandigarh,0
31,Dadra and Nagar Haveli and Daman and Diu,0
32,Delhi,15
33,Jammu and Kashmir,2
34,Ladakh,0
35,Lakshadweep,0
36,Puducherry,1
Total,Total,262
